0x0105 : 0000 0001 0000 0101 = lsls r5, r0, #4
0x0106 : 0000 0001 0000 0110 = lsls r6, r0, #4
0x0107 : 0000 0001 0000 0111 = lsls r7, r0, #4
0x0108 : 0000 0001 0000 1000 = lsls r0, r1, #4
0x0109 : 0000 0001 0000 1001 = lsls r1, r1, #4
0x010a : 0000 0001 0000 1010 = lsls r2, r1, #4
0x010b : 0000 0001 0000 1011 = lsls r3, r1, #4
0x010c : 0000 0001 0000 1100 = lsls r4, r1, #4
0x010d : 0000 0001 0000 1101 = lsls r5, r1, #4
0x010e : 0000 0001 0000 1110 = lsls r6, r1, #4
0x010f : 0000 0001 0000 1111 = lsls r7, r1, #4
0x0110 : 0000 0001 0001 0000 = lsls r0, r2, #4
0x0111 : 0000 0001 0001 0001 = lsls r1, r2, #4
0x0112 : 0000 0001 0001 0010 = lsls r2, r2, #4
0x0113 : 0000 0001 0001 0011 = lsls r3, r2, #4
0x0114 : 0000 0001 0001 0100 = lsls r4, r2, #4
0x0115 : 0000 0001 0001 0101 = lsls r5, r2, #4
0x0116 : 0000 0001 0001 0110 = lsls r6, r2, #4
0x0117 : 0000 0001 0001 0111 = lsls r7, r2, #4
0x0118 : 0000 0001 0001 1000 = lsls r0, r3, #4
0x0119 : 0000 0001 0001 1001 = lsls r1, r3, #4
0x011a : 0000 0001 0001 1010 = lsls r2, r3, #4
0x011b : 0000 0001 0001 1011 = lsls r3, r3, #4
0x011c : 0000 0001 0001 1100 = lsls r4, r3, #4
0x011d : 0000 0001 0001 1101 = lsls r5, r3, #4
0x011e : 0000 0001 0001 1110 = lsls r6, r3, #4
0x011f : 0000 0001 0001 1111 = lsls r7, r3, #4
0x0120 : 0000 0001 0010 0000 = lsls r0, r4, #4
0x0121 : 0000 0001 0010 0001 = lsls r1, r4, #4
0x0122 : 0000 0001 0010 0010 = lsls r2, r4, #4
0x0123 : 0000 0001 0010 0011 = lsls r3, r4, #4
0x0124 : 0000 0001 0010 0100 = lsls r4, r4, #4
0x0125 : 0000 0001 0010 0101 = lsls r5, r4, #4
0x0126 : 0000 0001 0010 0110 = lsls r6, r4, #4
0x0127 : 0000 0001 0010 0111 = lsls r7, r4, #4
0x0128 : 0000 0001 0010 1000 = lsls r0, r5, #4
0x0129 : 0000 0001 0010 1001 = lsls r1, r5, #4
0x012a : 0000 0001 0010 1010 = lsls r2, r5, #4
0x012b : 0000 0001 0010 1011 = lsls r3, r5, #4
0x012c : 0000 0001 0010 1100 = lsls r4, r5, #4
0x012d : 0000 0001 0010 1101 = lsls r5, r5, #4
0x012e : 0000 0001 0010 1110 = lsls r6, r5, #4
0x012f : 0000 0001 0010 1111 = lsls r7, r5, #4
0x0130 : 0000 0001 0011 0000 = lsls r0, r6, #4
0x0131 : 0000 0001 0011 0001 = lsls r1, r6, #4
0x0132 : 0000 0001 0011 0010 = lsls r2, r6, #4
0x0133 : 0000 0001 0011 0011 = lsls r3, r6, #4
0x0134 : 0000 0001 0011 0100 = lsls r4, r6, #4
0x0135 : 0000 0001 0011 0101 = lsls r5, r6, #4
0x0136 : 0000 0001 0011 0110 = lsls r6, r6, #4
0x0137 : 0000 0001 0011 0111 = lsls r7, r6, #4
0x0138 : 0000 0001 0011 1000 = lsls r0, r7, #4
0x0139 : 0000 0001 0011 1001 = lsls r1, r7, #4
0x013a : 0000 0001 0011 1010 = lsls r2, r7, #4
0x013b : 0000 0001 0011 1011 = lsls r3, r7, #4
0x013c : 0000 0001 0011 1100 = lsls r4, r7, #4
0x013d : 0000 0001 0011 1101 = lsls r5, r7, #4
0x013e : 0000 0001 0011 1110 = lsls r6, r7, #4
0x013f : 0000 0001 0011 1111 = lsls r7, r7, #4
0x0140 : 0000 0001 0100 0000 = lsls r0, r0, #5
0x0141 : 0000 0001 0100 0001 = lsls r1, r0, #5
0x0142 : 0000 0001 0100 0010 = lsls r2, r0, #5
0x0143 : 0000 0001 0100 0011 = lsls r3, r0, #5
0x0144 : 0000 0001 0100 0100 = lsls r4, r0, #5
0x0145 : 0000 0001 0100 0101 = lsls r5, r0, #5
0x0146 : 0000 0001 0100 0110 = lsls r6, r0, #5
0x0147 : 0000 0001 0100 0111 = lsls r7, r0, #5
0x0148 : 0000 0001 0100 1000 = lsls r0, r1, #5
0x0149 : 0000 0001 0100 1001 = lsls r1, r1, #5
0x014a : 0000 0001 0100 1010 = lsls r2, r1, #5
0x014b : 0000 0001 0100 1011 = lsls r3, r1, #5
0x014c : 0000 0001 0100 1100 = lsls r4, r1, #5
0x014d : 0000 0001 0100 1101 = lsls r5, r1, #5
0x014e : 0000 0001 0100 1110 = lsls r6, r1, #5
0x014f : 0000 0001 0100 1111 = lsls r7, r1, #5
0x0150 : 0000 0001 0101 0000 = lsls r0, r2, #5
0x0151 : 0000 0001 0101 0001 = lsls r1, r2, #5
0x0152 : 0000 0001 0101 0010 = lsls r2, r2, #5
0x0153 : 0000 0001 0101 0011 = lsls r3, r2, #5
0x0154 : 0000 0001 0101 0100 = lsls r4, r2, #5
0x0155 : 0000 0001 0101 0101 = lsls r5, r2, #5
0x0156 : 0000 0001 0101 0110 = lsls r6, r2, #5
0x0157 : 0000 0001 0101 0111 = lsls r7, r2, #5
0x0158 : 0000 0001 0101 1000 = lsls r0, r3, #5
0x0159 : 0000 0001 0101 1001 = lsls r1, r3, #5
0x015a : 0000 0001 0101 1010 = lsls r2, r3, #5
0x015b : 0000 0001 0101 1011 = lsls r3, r3, #5
0x015c : 0000 0001 0101 1100 = lsls r4, r3, #5
0x015d : 0000 0001 0101 1101 = lsls r5, r3, #5
0x015e : 0000 0001 0101 1110 = lsls r6, r3, #5
0x015f : 0000 0001 0101 1111 = lsls r7, r3, #5
0x0160 : 0000 0001 0110 0000 = lsls r0, r4, #5
0x0161 : 0000 0001 0110 0001 = lsls r1, r4, #5
0x0162 : 0000 0001 0110 0010 = lsls r2, r4, #5
0x0163 : 0000 0001 0110 0011 = lsls r3, r4, #5
0x0164 : 0000 0001 0110 0100 = lsls r4, r4, #5
0x0165 : 0000 0001 0110 0101 = lsls r5, r4, #5
0x0166 : 0000 0001 0110 0110 = lsls r6, r4, #5
0x0167 : 0000 0001 0110 0111 = lsls r7, r4, #5
0x0168 : 0000 0001 0110 1000 = lsls r0, r5, #5
0x0169 : 0000 0001 0110 1001 = lsls r1, r5, #5
0x016a : 0000 0001 0110 1010 = lsls r2, r5, #5
0x016b : 0000 0001 0110 1011 = lsls r3, r5, #5
0x016c : 0000 0001 0110 1100 = lsls r4, r5, #5
0x016d : 0000 0001 0110 1101 = lsls r5, r5, #5
0x016e : 0000 0001 0110 1110 = lsls r6, r5, #5
0x016f : 0000 0001 0110 1111 = lsls r7, r5, #5
0x0170 : 0000 0001 0111 0000 = lsls r0, r6, #5
0x0171 : 0000 0001 0111 0001 = lsls r1, r6, #5
0x0172 : 0000 0001 0111 0010 = lsls r2, r6, #5
0x0173 : 0000 0001 0111 0011 = lsls r3, r6, #5
0x0174 : 0000 0001 0111 0100 = lsls r4, r6, #5
0x0175 : 0000 0001 0111 0101 = lsls r5, r6, #5
0x0176 : 0000 0001 0111 0110 = lsls r6, r6, #5
0x0177 : 0000 0001 0111 0111 = lsls r7, r6, #5
0x0178 : 0000 0001 0111 1000 = lsls r0, r7, #5
0x0179 : 0000 0001 0111 1001 = lsls r1, r7, #5
0x017a : 0000 0001 0111 1010 = lsls r2, r7, #5
0x017b : 0000 0001 0111 1011 = lsls r3, r7, #5
0x017c : 0000 0001 0111 1100 = lsls r4, r7, #5
0x017d : 0000 0001 0111 1101 = lsls r5, r7, #5
0x017e : 0000 0001 0111 1110 = lsls r6, r7, #5
0x017f : 0000 0001 0111 1111 = lsls r7, r7, #5
0x0180 : 0000 0001 1000 0000 = lsls r0, r0, #6
0x0181 : 0000 0001 1000 0001 = lsls r1, r0, #6
0x0182 : 0000 0001 1000 0010 = lsls r2, r0, #6
0x0183 : 0000 0001 1000 0011 = lsls r3, r0, #6
0x0184 : 0000 0001 1000 0100 = lsls r4, r0, #6
0x0185 : 0000 0001 1000 0101 = lsls r5, r0, #6
0x0186 : 0000 0001 1000 0110 = lsls r6, r0, #6
0x0187 : 0000 0001 1000 0111 = lsls r7, r0, #6
0x0188 : 0000 0001 1000 1000 = lsls r0, r1, #6
0x0189 : 0000 0001 1000 1001 = lsls r1, r1, #6
0x018a : 0000 0001 1000 1010 = lsls r2, r1, #6
0x018b : 0000 0001 1000 1011 = lsls r3, r1, #6
0x018c : 0000 0001 1000 1100 = lsls r4, r1, #6
0x018d : 0000 0001 1000 1101 = lsls r5, r1, #6
0x018e : 0000 0001 1000 1110 = lsls r6, r1, #6
0x018f : 0000 0001 1000 1111 = lsls r7, r1, #6
0x0190 : 0000 0001 1001 0000 = lsls r0, r2, #6
0x0191 : 0000 0001 1001 0001 = lsls r1, r2, #6
0x0192 : 0000 0001 1001 0010 = lsls r2, r2, #6
0x0193 : 0000 0001 1001 0011 = lsls r3, r2, #6
0x0194 : 0000 0001 1001 0100 = lsls r4, r2, #6
0x0195 : 0000 0001 1001 0101 = lsls r5, r2, #6
0x0196 : 0000 0001 1001 0110 = lsls r6, r2, #6
0x0197 : 0000 0001 1001 0111 = lsls r7, r2, #6
0x0198 : 0000 0001 1001 1000 = lsls r0, r3, #6
0x0199 : 0000 0001 1001 1001 = lsls r1, r3, #6
0x019a : 0000 0001 1001 1010 = lsls r2, r3, #6
0x019b : 0000 0001 1001 1011 = lsls r3, r3, #6
0x019c : 0000 0001 1001 1100 = lsls r4, r3, #6
0x019d : 0000 0001 1001 1101 = lsls r5, r3, #6
0x019e : 0000 0001 1001 1110 = lsls r6, r3, #6
0x019f : 0000 0001 1001 1111 = lsls r7, r3, #6
0x01a0 : 0000 0001 1010 0000 = lsls r0, r4, #6
0x01a1 : 0000 0001 1010 0001 = lsls r1, r4, #6
0x01a2 : 0000 0001 1010 0010 = lsls r2, r4, #6
0x01a3 : 0000 0001 1010 0011 = lsls r3, r4, #6
0x01a4 : 0000 0001 1010 0100 = lsls r4, r4, #6
0x01a5 : 0000 0001 1010 0101 = lsls r5, r4, #6
0x01a6 : 0000 0001 1010 0110 = lsls r6, r4, #6
0x01a7 : 0000 0001 1010 0111 = lsls r7, r4, #6
0x01a8 : 0000 0001 1010 1000 = lsls r0, r5, #6
0x01a9 : 0000 0001 1010 1001 = lsls r1, r5, #6
0x01aa : 0000 0001 1010 1010 = lsls r2, r5, #6
0x01ab : 0000 0001 1010 1011 = lsls r3, r5, #6
0x01ac : 0000 0001 1010 1100 = lsls r4, r5, #6
0x01ad : 0000 0001 1010 1101 = lsls r5, r5, #6
0x01ae : 0000 0001 1010 1110 = lsls r6, r5, #6
0x01af : 0000 0001 1010 1111 = lsls r7, r5, #6
0x01b0 : 0000 0001 1011 0000 = lsls r0, r6, #6
0x01b1 : 0000 0001 1011 0001 = lsls r1, r6, #6
0x01b2 : 0000 0001 1011 0010 = lsls r2, r6, #6
0x01b3 : 0000 0001 1011 0011 = lsls r3, r6, #6
0x01b4 : 0000 0001 1011 0100 = lsls r4, r6, #6
0x01b5 : 0000 0001 1011 0101 = lsls r5, r6, #6
0x01b6 : 0000 0001 1011 0110 = lsls r6, r6, #6
0x01b7 : 0000 0001 1011 0111 = lsls r7, r6, #6
